date,ron95,ron97,diesel,ron95_budi95,USD,index,state,division,Rate,fuel_pressure,inflation_pressure,fx_pressure,policy_pressure,raw_cfpi,cfpi,cfpi_trend,risk_flag
2020-11-01,1.64,1.94,1.74,1.64,4.157,116.9,Kedah,overall,1.75,-0.6478539703135037,-1.2497705552938454,-0.16714515146822395,0,-0.29047765097231854,26.695452634075682,-10.13864630686695,Low
2020-11-01,1.64,1.94,1.74,1.64,4.157,123.0,Johor,overall,1.75,-0.6478539703135037,-0.9330178940894516,-0.16714515146822395,0,-0.2758999177435207,40.26820668708566,-6.864433443319946,Moderate
2020-11-01,1.64,1.94,1.74,1.64,4.157,112.5,Perlis,overall,1.75,-0.6478539703135037,-1.5785559059642225,-0.16714515146822395,0,-0.3300579040431127,31.694032789064206,-11.59483885114253,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,121.5,W.P. Putrajaya,overall,1.75,0.0684431172777761,1.1500490510151498,0.5840684505248954,0,0.10040101393354887,49.14852228322761,7.807440134691895,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,116.3,W.P. Labuan,overall,1.75,0.0684431172777761,1.8807972170074716,0.5840684505248954,0,0.11662767230473899,53.757974332190884,12.32636123740771,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,122.8,W.P. Kuala Lumpur,overall,1.75,0.0684431172777761,0.28123766340431816,0.5840684505248954,0,-0.13075019278888408,43.35469096878715,1.6919688608079113,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,116.5,Terengganu,overall,1.75,0.0684431172777761,1.5508877649518258,0.5840684505248954,0,0.08418126152189404,57.20133461716626,9.617987619527462,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,124.2,Selangor,overall,1.75,0.0684431172777761,0.019472048105542435,0.5840684505248954,0,-0.20386815108563705,43.34280117251282,1.3199678915832322,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,115.0,Sarawak,overall,1.75,0.0684431172777761,1.0615912803613254,0.5840684505248954,0,-0.05092806121283836,50.80789047721243,7.389132837116421,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,113.1,Sabah,overall,1.75,0.0684431172777761,0.943092305036051,0.5840684505248954,0,-0.06389709521693997,50.13811807875596,6.408550203972531,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,122.6,Pulau Pinang,overall,1.75,0.0684431172777761,0.619302584496148,0.5840684505248954,0,-0.20660636537825697,36.03591101976423,5.957406581595301,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,113.6,Perlis,overall,1.75,0.0684431172777761,0.7400997512456017,0.5840684505248954,0,-0.1980000260502004,38.40365707359931,6.709624284535106,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,118.3,Pahang,overall,1.75,0.0684431172777761,0.5661795079644252,0.5840684505248954,0,-0.2510986060685106,41.338034916037,4.714117060453006,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,120.9,Negeri Sembilan,overall,1.75,0.0684431172777761,0.4757507967274925,0.5840684505248954,0,-0.1953662034144029,44.40424038442403,3.849152928133016,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,118.4,Melaka,overall,1.75,0.0684431172777761,1.3861151122678315,0.5840684505248954,0,-0.06629450184471042,50.41604878440516,8.915784943068232,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,119.6,Kelantan,overall,1.75,0.0684431172777761,1.9274883851179958,0.5840684505248954,0,0.1795874572007965,60.588400994227435,11.643604714475174,High
2020-12-01,1.67,1.97,1.85,1.67,4.078,117.6,Kedah,overall,1.75,0.0684431172777761,0.14389270764538192,0.5840684505248954,0,-0.24090198460018178,29.473144331489873,2.777691697414191,Low
2020-12-01,1.67,1.97,1.85,1.67,4.078,123.5,Johor,overall,1.75,0.0684431172777761,-0.3690916421567281,0.5840684505248954,0,-0.2690359621244786,40.58131159429195,0.3131049072062879,Moderate
2020-12-01,1.67,1.97,1.85,1.67,4.078,116.4,Perak,overall,1.75,0.0684431172777761,0.9488931462322083,0.5840684505248954,0,-0.14503398301899104,45.26542031675856,6.949337520905878,Moderate
2021-01-01,1.8,2.1,1.98,1.8,4.013,113.8,Sabah,overall,1.75,1.7121584077598353,1.776776089847562,-0.6145524366092355,0,0.3169647859696895,67.56183647492655,17.423718396170592,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,116.9,W.P. Labuan,overall,1.75,1.7121584077598353,1.7758208462252254,-0.6145524366092355,0,0.5027997191201031,73.42710228016261,19.66912794797173,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,124.0,W.P. Kuala Lumpur,overall,1.75,1.7121584077598353,1.9184833352322823,-0.6145524366092355,0,0.2397970736956632,61.63785426048767,18.283163291700518,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,118.2,Terengganu,overall,1.75,1.7121584077598353,1.9758610030152572,-0.6145524366092355,0,0.49679657315024633,76.02205173600046,18.820717118834203,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,125.7,Selangor,overall,1.75,1.7121584077598353,1.9344357462555162,-0.6145524366092355,0,0.20432425105988247,62.3503396103558,19.00753843784298,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,115.9,Sarawak,overall,1.75,1.7121584077598353,1.870576110190984,-0.6145524366092355,0,0.34990818877519675,68.95107375973566,18.143183282523232,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,124.2,Pulau Pinang,overall,1.75,1.7121584077598353,1.9586634041115314,-0.6145524366092355,0,0.20552615336336652,57.83457767839025,21.79866665862602,Moderate
2021-01-01,1.8,2.1,1.98,1.8,4.013,122.8,W.P. Putrajaya,overall,1.75,1.7121584077598353,1.8625067904757,-0.6145524366092355,0,0.4674146670973636,69.10625150979011,19.957729226562506,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,118.2,Perak,overall,1.75,1.7121584077598353,1.9454051307646563,-0.6145524366092355,0,0.2743064541008189,65.35963425854702,20.09421394178846,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,120.1,Pahang,overall,1.75,1.7121584077598353,1.8619485156451396,-0.6145524366092355,0,0.19809449365669676,62.83338137954612,21.495346463509115,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,122.8,Negeri Sembilan,overall,1.75,1.7121584077598353,1.9259140490092566,-0.6145524366092355,0,0.2222006851932227,63.649470827364716,19.245230442940688,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,120.1,Melaka,overall,1.75,1.7121584077598353,1.971148179028412,-0.6145524366092355,0,0.35149798104377644,69.81379996060622,19.397751176201055,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,121.4,Kelantan,overall,1.75,1.7121584077598353,1.9762454297947156,-0.6145524366092355,0,0.5760810963178169,79.35585199968342,18.76745100545599,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,119.3,Kedah,overall,1.75,1.7121584077598353,1.9505475208691194,-0.6145524366092355,0,0.1986442748446496,54.100629645042254,24.62748531355238,Moderate
2021-01-01,1.8,2.1,1.98,1.8,4.013,125.2,Johor,overall,1.75,1.7121584077598353,1.9327804680967349,-0.6145524366092355,0,0.17367775501813798,60.77605716350051,20.194745569208564,High
2021-01-01,1.8,2.1,1.98,1.8,4.013,115.5,Perlis,overall,1.75,1.7121584077598353,1.9676587894251465,-0.6145524366092355,0,0.2318397870180011,60.24304819555288,21.839391121953568,High
2021-02-01,1.9,2.2,2.07,1.9,4.054,117.3,W.P. Labuan,overall,1.75,0.7908394361028037,1.5723576433748523,0.3285420634514789,0,0.8870618003760647,92.99894882914676,19.57184654898414,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,124.2,W.P. Kuala Lumpur,overall,1.75,0.7908394361028037,1.3820259677146765,0.3285420634514789,0,0.6948851140128331,84.09234173291325,22.454487472425583,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,118.8,Terengganu,overall,1.75,0.7908394361028037,1.5038306186612604,0.3285420634514789,0,0.8639155630451575,92.76753466657016,16.745482930569693,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,126.0,Selangor,overall,1.75,0.7908394361028037,1.4372563892309411,0.3285420634514789,0,0.6726504560242507,84.15801730234753,21.807677691991728,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,116.6,Sarawak,overall,1.75,0.7908394361028037,1.5988740088425293,0.3285420634514789,0,0.8056361312012484,89.57883780714869,20.627764047413024,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,114.2,Sabah,overall,1.75,0.7908394361028037,1.582525167640609,0.3285420634514789,0,0.7789605502330099,88.69727820426887,21.13544172934232,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,124.6,Pulau Pinang,overall,1.75,0.7908394361028037,1.4249477507136379,0.3285420634514789,0,0.7440212375260042,86.31686020443682,28.482282526046575,Severe
2021-02-01,1.9,2.2,2.07,1.9,4.054,124.4,W.P. Putrajaya,overall,1.75,0.7908394361028037,1.8372259895990968,0.3285420634514789,0,0.842822514899011,89.52044621716716,20.41419470737705,Severe
