,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
257,2021-02-27,2.05,2.35,2.15,,level,,2.15
258,2021-02-20,2.0,2.3,2.15,,level,,2.15
259,2021-02-13,1.96,2.26,2.15,,level,,2.15
260,2021-02-06,1.93,2.23,2.11,,level,,2.11
261,2021-01-30,1.9,2.2,2.07,,level,,2.07
262,2021-01-23,1.9,2.2,2.09,,level,,2.09
263,2021-01-16,1.89,2.19,2.05,,level,,2.05
264,2021-01-09,1.84,2.14,2.02,,level,,2.02
265,2021-01-02,1.84,2.14,2.01,,level,,2.01
266,2020-12-26,1.8,2.1,1.98,,level,,1.98
267,2020-12-19,1.78,2.08,1.96,,level,,1.96
268,2020-12-12,1.73,2.03,1.93,,level,,1.93
269,2020-12-05,1.7,2.0,1.9,,level,,1.9
270,2020-11-28,1.67,1.97,1.85,,level,,1.85
271,2020-11-21,1.64,1.94,1.81,,level,,1.81
272,2020-11-14,1.62,1.92,1.74,,level,,1.74
273,2020-11-07,1.61,1.91,1.68,,level,,1.68
274,2020-10-31,1.64,1.94,1.74,,level,,1.74
275,2020-10-24,1.64,1.94,1.74,,level,,1.74
276,2020-10-17,1.68,1.98,1.74,,level,,1.74
277,2020-10-10,1.67,1.97,1.69,,level,,1.69
278,2020-10-03,1.71,2.01,1.7,,level,,1.7
279,2020-09-26,1.68,1.98,1.71,,level,,1.71
280,2020-09-19,1.63,1.93,1.67,,level,,1.67
281,2020-09-12,1.66,1.96,1.72,,level,,1.72
282,2020-09-05,1.71,2.01,1.78,,level,,1.78
283,2020-08-29,1.72,2.02,1.78,,level,,1.78
284,2020-08-22,1.71,2.01,1.8,,level,,1.8
285,2020-08-15,1.68,1.98,1.82,,level,,1.82
286,2020-08-08,1.63,1.93,1.79,,level,,1.79
287,2020-08-01,1.68,1.98,1.83,,level,,1.83
288,2020-07-25,1.68,1.98,1.82,,level,,1.82
289,2020-07-18,1.72,2.02,1.87,,level,,1.87
290,2020-07-11,1.72,2.02,1.87,,level,,1.87
291,2020-07-04,1.65,1.95,1.84,,level,,1.84
292,2020-06-27,1.69,1.99,1.86,,level,,1.86
293,2020-06-20,1.59,1.89,1.77,,level,,1.77
294,2020-06-13,1.56,1.86,1.73,,level,,1.73
295,2020-06-06,1.48,1.78,1.63,,level,,1.63
296,2020-05-30,1.43,1.73,1.61,,level,,1.61
297,2020-05-23,1.38,1.68,1.51,,level,,1.51
298,2020-05-16,1.31,1.61,1.45,,level,,1.45
299,2020-05-09,1.25,1.55,1.4,,level,,1.4
300,2020-05-02,1.25,1.55,1.4,,level,,1.4
301,2020-04-25,1.25,1.55,1.4,,level,,1.4
302,2020-04-18,1.25,1.55,1.43,,level,,1.43
303,2020-04-11,1.25,1.55,1.46,,level,,1.46
304,2020-04-04,1.3,1.6,1.58,,level,,1.58
305,2020-03-28,1.38,1.68,1.68,,level,,1.68
306,2020-03-21,1.44,1.74,1.75,,level,,1.75
307,2020-03-14,1.82,2.1,1.87,,level,,1.87
308,2020-03-07,1.89,2.19,1.96,,level,,1.96
309,2020-02-29,2.08,2.4,2.13,,level,,2.13
310,2020-02-22,2.08,2.38,2.14,,level,,2.14
311,2020-02-15,2.06,2.36,2.14,,level,,2.14
312,2020-02-08,2.04,2.34,2.08,,level,,2.08
