Date,USD
30/08/2023,4.638
29/08/2023,4.647
28/08/2023,4.652
25/08/2023,4.6515
24/08/2023,4.6415
23/08/2023,4.6535
22/08/2023,4.649
21/08/2023,4.6525
18/08/2023,4.642
17/08/2023,4.6465
16/08/2023,4.642
15/08/2023,4.629
14/08/2023,4.613
11/8/2023,4.5805
10/8/2023,4.5735
9/8/2023,4.5795
8/8/2023,4.5735
7/8/2023,4.554
4/8/2023,4.548
3/8/2023,4.5545
2/8/2023,4.5395
1/8/2023,4.516
31/07/2023,4.5405
28/07/2023,4.5463
27/07/2023,4.5295
26/07/2023,4.5605
25/07/2023,4.5663
24/07/2023,4.575
21/07/2023,4.5525
20/07/2023,4.5485
18/07/2023,4.5355
17/07/2023,4.555
14/07/2023,4.52
13/07/2023,4.6075
12/7/2023,4.649
11/7/2023,4.661
10/7/2023,4.668
7/7/2023,4.671
6/7/2023,4.659
5/7/2023,4.6465
4/7/2023,4.664
3/7/2023,4.6675
30/06/2023,4.679
28/06/2023,4.667
27/06/2023,4.664
26/06/2023,4.6845
23/06/2023,4.676
22/06/2023,4.6515
21/06/2023,4.649
20/06/2023,4.6375
19/06/2023,4.614
16/06/2023,4.618
15/06/2023,4.6355
14/06/2023,4.6195
13/06/2023,4.6205
12/6/2023,4.618
9/6/2023,4.612
8/6/2023,4.618
7/6/2023,4.606
6/6/2023,4.5985
2/6/2023,4.591
1/6/2023,4.612
31/05/2023,4.6165
30/05/2023,4.6125
29/05/2023,4.6035
26/05/2023,4.6345
25/05/2023,4.6195
24/05/2023,4.584
23/05/2023,4.55
22/05/2023,4.5385
19/05/2023,4.553
18/05/2023,4.5255
17/05/2023,4.5195
16/05/2023,4.4988
15/05/2023,4.4995
12/5/2023,4.479
11/5/2023,4.455
10/5/2023,4.4535
9/5/2023,4.441
8/5/2023,4.435
5/5/2023,4.438
3/5/2023,4.458
2/5/2023,4.461
28/04/2023,4.4585
27/04/2023,4.458
26/04/2023,4.461
25/04/2023,4.4415
20/04/2023,4.438
19/04/2023,4.4315
18/04/2023,4.438
17/04/2023,4.419
14/04/2023,4.3885
13/04/2023,4.402
12/4/2023,4.4155
11/4/2023,4.416
10/4/2023,4.408
7/4/2023,4.4025
6/4/2023,4.4045
5/4/2023,4.396
4/4/2023,4.4075
3/4/2023,4.4225
31/03/2023,4.409
30/03/2023,4.424
29/03/2023,4.4008
28/03/2023,4.397
27/03/2023,4.4295
24/03/2023,4.4265
23/03/2023,4.4285
22/03/2023,4.472
21/03/2023,4.4775
20/03/2023,4.4805
17/03/2023,4.4825
16/03/2023,4.508
15/03/2023,4.471
14/03/2023,4.48
13/03/2023,4.484
10/3/2023,4.518
9/3/2023,4.5245
8/3/2023,4.5225
7/3/2023,4.477
6/3/2023,4.464
3/3/2023,4.4785
2/3/2023,4.4765
1/3/2023,4.486
28/02/2023,4.4835
27/02/2023,4.4725
24/02/2023,4.4335
23/02/2023,4.434
22/02/2023,4.4365
21/02/2023,4.432
20/02/2023,4.432
17/02/2023,4.4295
16/02/2023,4.4025
15/02/2023,4.384
14/02/2023,4.3495
13/02/2023,4.3595
10/2/2023,4.3305
9/2/2023,4.306
8/2/2023,4.2985
7/2/2023,4.2945
3/2/2023,4.267
2/2/2023,4.241
31/01/2023,4.2475
30/01/2023,4.2375
27/01/2023,4.2295
26/01/2023,4.2505
25/01/2023,4.273
20/01/2023,4.294
19/01/2023,4.317
18/01/2023,4.3365
17/01/2023,4.3285
16/01/2023,4.312
13/01/2023,4.34
12/1/2023,4.3675
11/1/2023,4.375
10/1/2023,4.375
9/1/2023,4.3765
6/1/2023,4.3955
5/1/2023,4.401
4/1/2023,4.4045
3/1/2023,4.39
30/12/2022,4.413
29/12/2022,4.419
28/12/2022,4.432
27/12/2022,4.421
23/12/2022,4.4285
22/12/2022,4.429
21/12/2022,4.4395
20/12/2022,4.435
19/12/2022,4.4205
16/12/2022,4.424
15/12/2022,4.4075
14/12/2022,4.415
13/12/2022,4.4345
12/12/2022,4.4185
9/12/2022,4.3988
8/12/2022,4.406
7/12/2022,4.4055
6/12/2022,4.3805
5/12/2022,4.367
2/12/2022,4.3965
1/12/2022,4.4075
30/11/2022,4.475
29/11/2022,4.506
25/11/2022,4.46
24/11/2022,4.5225
23/11/2022,4.574
22/11/2022,4.577
21/11/2022,4.5595
17/11/2022,4.55
16/11/2022,4.54
15/11/2022,4.5898
14/11/2022,4.586
11/11/2022,4.642
10/11/2022,4.7058
9/11/2022,4.718
8/11/2022,4.7425
7/11/2022,4.744
4/11/2022,4.7465
3/11/2022,4.746
2/11/2022,4.741
1/11/2022,4.731
31/10/2022,4.7265
28/10/2022,4.7215
27/10/2022,4.7125
26/10/2022,4.726
25/10/2022,4.741
21/10/2022,4.7375
20/10/2022,4.7285
19/10/2022,4.721
18/10/2022,4.718
17/10/2022,4.717
14/10/2022,4.698
13/10/2022,4.688
12/10/2022,4.685
11/10/2022,4.672
7/10/2022,4.651
6/10/2022,4.6305
5/10/2022,4.638
4/10/2022,4.645
3/10/2022,4.6495
30/09/2022,4.641
29/09/2022,4.646
28/09/2022,4.619
27/09/2022,4.6115
26/09/2022,4.598
23/09/2022,4.57
22/09/2022,4.5695
21/09/2022,4.566
20/09/2022,4.554
19/09/2022,4.5455
15/09/2022,4.5325
14/09/2022,4.526
13/09/2022,4.5075
12/9/2022,4.504
9/9/2022,4.4965
8/9/2022,4.5
7/9/2022,4.5035
6/9/2022,4.4915
5/9/2022,4.487
2/9/2022,4.484
1/9/2022,4.4825
30/08/2022,4.4845
29/08/2022,4.488
26/08/2022,4.4743
25/08/2022,4.4785
24/08/2022,4.4875
23/08/2022,4.4875
22/08/2022,4.482
19/08/2022,4.4778
18/08/2022,4.472
17/08/2022,4.4655
16/08/2022,4.4638
15/08/2022,4.4525
12/8/2022,4.4405
11/8/2022,4.447
10/8/2022,4.457
9/8/2022,4.4558
8/8/2022,4.461
5/8/2022,4.4545
4/8/2022,4.4543
3/8/2022,4.457
2/8/2022,4.4565
1/8/2022,4.4515
29/07/2022,4.4485
28/07/2022,4.455
27/07/2022,4.46
26/07/2022,4.457
25/07/2022,4.4555
22/07/2022,4.453
21/07/2022,4.4565
20/07/2022,4.449
19/07/2022,4.457
18/07/2022,4.4493
15/07/2022,4.4495
14/07/2022,4.4415
13/07/2022,4.4315
12/7/2022,4.4365
8/7/2022,4.4255
7/7/2022,4.426
6/7/2022,4.425
5/7/2022,4.417
4/7/2022,4.412
1/7/2022,4.409
30/06/2022,4.4055
29/06/2022,4.4
28/06/2022,4.3988
27/06/2022,4.406
24/06/2022,4.406
23/06/2022,4.406
22/06/2022,4.402
21/06/2022,4.399
20/06/2022,4.4015
17/06/2022,4.402
16/06/2022,4.3993
15/06/2022,4.4193
14/06/2022,4.424
13/06/2022,4.415
10/6/2022,4.399
9/6/2022,4.392
8/6/2022,4.3925
7/6/2022,4.397
3/6/2022,4.386
2/6/2022,4.393
1/6/2022,4.387
31/05/2022,4.3755
30/05/2022,4.3705
27/05/2022,4.3825
26/05/2022,4.3975
25/05/2022,4.3925
24/05/2022,4.3905
23/05/2022,4.3885
20/05/2022,4.3975
19/05/2022,4.4023
18/05/2022,4.3945
17/05/2022,4.395
13/05/2022,4.397
12/5/2022,4.3865
11/5/2022,4.3835
10/5/2022,4.377
9/5/2022,4.3795
6/5/2022,4.3725
5/5/2022,4.3365
29/04/2022,4.359
28/04/2022,4.3615
27/04/2022,4.3565
26/04/2022,4.348
25/04/2022,4.3475
22/04/2022,4.3075
21/04/2022,4.287
20/04/2022,4.266
18/04/2022,4.2483
15/04/2022,4.2345
14/04/2022,4.2285
13/04/2022,4.2265
12/4/2022,4.233
11/4/2022,4.2268
8/4/2022,4.2205
7/4/2022,4.2183
6/4/2022,4.218
5/4/2022,4.2175
4/4/2022,4.2185
1/4/2022,4.209
31/03/2022,4.204
30/03/2022,4.205
29/03/2022,4.222
28/03/2022,4.214
25/03/2022,4.222
24/03/2022,4.227
23/03/2022,4.2195
22/03/2022,4.2135
21/03/2022,4.2
18/03/2022,4.203
17/03/2022,4.19
16/03/2022,4.1995
15/03/2022,4.2078
14/03/2022,4.2055
11/3/2022,4.1925
10/3/2022,4.184
9/3/2022,4.182
8/3/2022,4.1803
7/3/2022,4.179
4/3/2022,4.1853
3/3/2022,4.1905
2/3/2022,4.192
1/3/2022,4.195
28/02/2022,4.201
25/02/2022,4.198
24/02/2022,4.196
23/02/2022,4.1845
22/02/2022,4.1845
21/02/2022,4.1865
18/02/2022,4.1845
17/02/2022,4.185
16/02/2022,4.189
15/02/2022,4.1865
14/02/2022,4.192
11/2/2022,4.1883
10/2/2022,4.185
9/2/2022,4.185
8/2/2022,4.1865
7/2/2022,4.1858
4/2/2022,4.1795
3/2/2022,4.1815
31/01/2022,4.189
28/01/2022,4.192
27/01/2022,4.203
26/01/2022,4.1905
25/01/2022,4.188
24/01/2022,4.1835
21/01/2022,4.1865
20/01/2022,4.1855
19/01/2022,4.1925
17/01/2022,4.1845
14/01/2022,4.1785
13/01/2022,4.1795
12/1/2022,4.1825
